none,en-us,hi-in,th-th,zh-cn,zh-hk,vi-vn,id-id,in-telugu,in-marathi,pt-pt,es-es
UI_Promote_NumberofTeamNew,Number of Team(new),टीम की संख्या (नई),จำนวนคนของทีม (ใหม่),Number of Team(new),團隊人數（新）,Số đội (mới),Jumlah Tim (baru),జట్టు సంఖ్య (కొత్తది),संघाची संख्या (नवीन),Número da Equipe (nova),Número de equipo (nuevo)
UI_Promote_ShareLink,Your referral link,आपका संदर्भ लिंक,ลิงค์สำหรับเชิญชวนเพื่อนของฉัน,my referral link,我的推薦鏈接,Link giới thiệu của bạn,link ajakan saya,నా రిఫరల్ లింక్,मेरा रेफरल लिंक,Seu link de referência,Tu enlace de referencia
UI_Promote_ShareTitle,Share via:,के माध्यम से बाँटे:,แชร์,Share,分享,Chia sẻ tới:,Klik ikon di bawah ini untuk membagikan,షేర్ చేయండి,शेयर करना,Compartilhar via:,Compartir via:
UI_Notice_Hide,Fold,तह,พับ,Hide,折疊,Lật bài,Sembunyi,Hide,Hide,Dobrar,Doblar
UI_Menu_Allpromotions,All promotions,सभी पदोन्नति,โปรโมชั่นทั้งหมด,All promotions,所有促銷活動,Tất cả khuyến mãi,Semua promosi,All promotions,All promotions,Todas promoções,Todas las promociones
UI_Menu_AllGames,Home,गृह,หน้าแรก,Home,主頁,Trang chủ,Beranda,Home,Home,Casa,Hogar
UI_Top_Wallet,Deposit,जमा,เงินฝาก,Deposit,Deposit,Tiền gửi,Menyetorkan,డిపాజిట్ చేయండి,ठेव,Depósito,Depósito
UI_Official_Channel,Official Channel,Official Channel,Official Channel,Official Channel,Official Channel,Official Channel,Official Channel,Official Channel,Official Channel,Official Channel,Official Channel
UI_BOTTOM_TXT,This website offers gaming with risk experience. To be a user of our site you must be over 18 y.o. We are not responsible for the violation of your local laws.,यह वेबसाइट जोखिम अनुभव के साथ गेमिंग प्रदान करती है। हमारी साइट का उपयोगकर्ता होने के लिए आपकी आयु 18 वर्ष से अधिक होनी चाहिए। हम आपके स्थानीय कानूनों के उल्लंघन के लिए जिम्मेदार नहीं हैं।,เว็บไซต์นี้นำเสนอเกมที่มีความเสี่ยง หากต้องการเป็นผู้ใช้ในเว็บไซต์ของเรา คุณต้องมีอายุอย่างน้อย 18 ปี ทางเราไม่รับผิดชอบสำหรับการละเมิดกฎหมาย i-gaming ในบ้านเมืองของคุณ,This website offers gaming with risk experience. To be a user of our site you must be over 18 y.o. We are not responsible for the violation of your local laws related to i-gaming.,本網站提供具有風險體驗的遊戲。 要成為我們網站的用戶，您必須年滿 18 歲。 對於違反您當地與 i-gaming 相關的法律，我們概不負責。,"Trang web này cung cấp game có trải nghiệm may rủi. Để trở thành người dùng của trang web của chúng tôi, bạn phải đủ từ 18 tuổi trở lên. Chúng tôi không chịu trách nhiệm về việc vi phạm luật pháp địa phương của bạn.","Situs web ini menawarkan permainan dengan pengalaman berisiko. Untuk menjadi pengguna situs kami, Anda harus berusia di atas 18 tahun. Kami tidak bertanggung jawab atas pelanggaran hukum lokal Anda terkait dengan i-gaming.",ఈ వెబ్,यह वेबसाइट जोखिम अनुभव के साथ गेमिंग प्रदान करती है। हमारी साइट का उपयोगकर्ता होने के लिए आपकी आयु 18 वर्ष से अधिक होनी चाहिए। हम आई-गेमिंग से संबंधित आपके स्थानीय कानूनों के उल्लंघन के लिए जिम्मेदार नहीं हैं।,"Este site oferece jogos com experiência de risco. Para ser um usuário do nosso site, você deve ter mais de 18 anos. Não somos responsáveis",Este sitio web ofrece juegos con experiencia de riesgo. Para ser usuario de nuestro sitio debe ser mayor de 18 años. No somos responsables de la violación de sus leyes locales.
UI_PLAYER_INFO,Edit,माहिती संपादित करा,แก้ไข,Edit information,編輯,Biên tập,Sunting informasi,సమాచారాన్ని సవరించండి,सूचना संपादित करें,Editar,editar
UI_PLAYER_USERNAME,Change username,वापरकर्तानाव बदला,แก้ไขชื่อผู้ใช้,Change username,更改用戶名,Đổi tên người dùng,Ubah nama pengguna,వినియోగదారు పేరు మార్చు,यूज़रनेम बदलें,Mudar nome de usuário,Cambie el nombre de usuario
UI_CASHOUT_DokyPay,DokyPay,डॉकीपे,DokyPay,DokyPay,Doky支付,DokyPay,DokyPay,డోకీపే,डोकीपे,Pagamento Doky,DokyPay
UI_CASHOUT_Cashfree,Cashfree,कॅशफ्री,Cashfree,Cashfree,免現金,Không tiền mặt,Cashfree,నగదు రహిత,कैशफ्री,Sem dinheiro,sin efectivo
UI_CASHOUT_ENTERTOP,Enter your amount,तुमची रक्कम टाका,ใส่จำนวนเงินของคุณ,Enter your amount,輸入您的金額,Nhập số tiền của bạn,masukan jumlah Anda,మీ మొత్తాన్ని నమోదు చేయండి,अपनी राशि दर्ज करें,Digite seu valor,Ingrese su cantidad
UI_CASHOUT_ENTER_AMOUNT,Please enter your amount,कृपया तुमची रक्कम प्रविष्ट करा,กรุณาใส่จำนวนเงินของคุณ,Please enter your amount,請輸入您的金額,Hãy nhập số tiền của bạn,Silakkan masukan jumlah Anda,దయచేసి మీ మొత్తాన్ని నమోదు చేయండి,कृपया अपनी राशि दर्ज करें,"Por favor, insira seu valor",Por favor ingrese su cantidad
UI_CASHOUT_Mypay,Mypay,मायपे,Alipay,Mypay,支付寶,MyPay,Mypay,మైపే,मेरा भुगतान,Meu pagamento,Mi pago
UI_CASHOUT_Corrente,Corrente,साखळी,Corrente,Corrente,科倫特,Thẻ tín dụng,Corrente,చైన్,ज़ंजीर,Corrente,Corrente
UI_CASHOUT_Poupan,Savings,बचत,ออมทรัพย์,Savings,儲蓄,Thẻ tiết kiệm,Tabungan,పొదుపు,बचत,Poupança,Ahorros
UI_REFER_EARN,REFER\nEARN,संदर्भ द्या\nकमवा,ชวนเพื่อนเพื่อรับเงิน,REFER\nEARN,推薦\n賺取,THAM KHẢO\nKIẾM,AJAK\nHASIL,రిఫెర్\nసంపాదించండి,संदर्भ\nजानें,REFERIR\nGANHE,REFERIR\nGANAR
UI_BETTING_BONUS,BETTING\nBONUS,बेटिंग\बोनस,โบนัสจากการเดิมพัน,BETTING\nBONUS,投注\n獎金,CƯỢC\nTIỀN THƯỞNG,TARUHAN\nBONUS,BETTING\nBONUS,BETTING\nBONUS,APOSTAS\nBÔNUS,APUESTAS\nBONO
UI_Log_in,Log in,लॉग इन करा,เข้าสู่ระบบ,Log in,登錄,ĐĂNG NHẬP,Masuk,ప్రవేశించండి,लॉग इन करें,Entrar,Iniciar sesión
UI_Sign_Up,Register,साइन अप करा,ลงทะเบียน,Sign Up,註冊,Đăng ký,Daftar,చేరడం,साइन अप करें,Cadastre-se,Registro
UI_Login,Login,लॉगिन करा,เข้าสู่ระบบ,Login,登錄,ĐĂNG NHẬP,Masuk,ప్రవేశించండి,लॉग इन करें,Entrar,INICIAR SESION
UI_Signup,Register,साइन अप करें,ลงทะเบียน,Sign up,註冊,Đăng ký,Daftar,చేరడం,साइन अप करा,Cadastre-se,Registro
UI_Remember,Remember me,पहचाना की नहीं,จดจำฉัน,Remember me,記得我,Ghi nhớ,Ingat saya,Remember me,Remember me,Lembre de mim,Acuérdate de mí
UI_EnterMail,Email,कृपया अपना मेल दर्ज करें,อีเมล,Please enter your mail,電子郵件,Email,Email,దయచేసి మీ మెయిల్,कृपया तुमचा मेल प्रविष्ट करा,Email,Correo
UI_Forget_Password,Forget password?,अपना पासवर्ड भूल गए हैं?,ลืมรหัสผ่าน,Forget your password?,忘記密碼？,Quên mật khẩu?,Lupa Kata Sandi?,మీ పాస్,तुमचा पासवर्ड विसरलात?,Esqueceu a senha?,¿Contraseña olvidada?
UI_Password,Password,पासवर्ड,รหัสผ่าน,Password,密碼,Mật khẩu,Kata sandi,Password,Password,Senha,Contraseña
UI_Orignupwith,Or sign up with,किंवा सह साइन अप करा,หรือลงทะเบียน,Or sign up with,或註冊,Hoặc đăng ký bằng,Atau daftar dengan,లేదా దీనితో సైన్ అప్ చేయండి,या साइन अप करें,Ou inscreva-se com,O regístrate con
UI_BonttomSignUp,<<Sign Up,<<साइन अप करा,<< ลงทะเบียน,<<Sign Up,<<註冊,<< Đăng ký,<<Daftar,<<సైన్ అప్ చేయండి,<<साइन अप,<<Inscreva-se,<<Registrarse
UI_Dont_account,Don't you have an account,तुमचे खाते नाही का,คุณไม่มีบัญชี,Don't you have an account,你沒有賬號嗎,Bạn chưa có tài khoản,Apakah Anda tidak memiliki akun,మీకు ఖాతా లేదా,क्या आपका खाता नहीं है,Você não tem uma conta,no tienes una cuenta
UI_have_account,Already have an account?,तुमचे खाते आहे का?,มีบัญชีอยู่แล้ว?,Do you have an account?,已經有一個帳戶？,Bạn có sẵn sàng tạo một tai khoản?,Sudah memiliki akun?,మీకు ఖాతా ఉందా?,क्या आपकॆ पास खाता है?,Já possui uma conta?,¿Ya tienes una cuenta?
UI_BONTTOM_BYTIT,By accessing the site.I confirm that I am 18 years old and I have read the,साइटवर प्रवेश करून. मी पुष्टी करतो की मी 18 वर्षांचा आहे आणि मी वाचले आहे,เข้าผ่านที่เว็บไซต์ ฉันยืนยันว่าฉันอายุ 18 ปีแล้ว และฉันได้อ่าน,By accessing the site.I confirm that I am 18 years old and I have read the,通過訪問該網站。我確認我已 18 歲並且我已閱讀,Khi truy cập trang web. Tôi xác nhận rằng tôi 18 tuổi và tôi đã đọc,Dengan mengakses situs ini. Saya mengonfirmasi bahwa saya berusia 18 tahun dan saya telah membaca,సైట్,साइट पर पहुंचकर। मैं पुष्टि करता हूं कि मैं 18 वर्ष का हूं और मैंने इसे पढ़ लिया है,Alcançando o local. Eu confirmo que eu tenho 18 anos velho e eu li,"Al acceder al sitio, confirmo que tengo 18 años y he leído el"
UI_BONTTOM_BYTIT1,I confirm that I am 18 years old and I have read the,मी पुष्टी करतो की मी 18 वर्षांचा आहे आणि मी वाचले आहे,ฉันยืนยันว่าฉันอายุมากกว่า 18 ปีแล้ว และฉันได้อ่าน,I confirm that I am 18 years old and I have read the,我確認我已年滿 18 歲，並且我已閱讀,Tôi xác nhận rằng tôi đủ 18 tuổi và tôi đã đọc,Saya mengonfirmasi bahwa saya berusia 18 tahun dan saya telah membaca,నా వయస్సు 18 సంవత్సరాలు అని నేను ధృవీకరిస్తున్నాను మరియు నేను చదివాను,मैं पुष्टि करता/करती हूं कि मैं 18 वर्ष का हूं और मैंने इसे पढ़ लिया है,"Informações de confirmação, tenho mais de 18 anos",Confirmo que tengo 18 años y he leído el
UI_Terms_of_Service,Terms of Service,सेवेच्या अटी,เงื่อนไขการให้บริการ,Terms of Service,服務條款,Điều khoản dịch vụ,Ketentuan Layanan,సేవా నిబంధనలు,सेवा की शर्तें,Termos de serviço,Términos de servicio
UI_Receive_Email,Receive Email promos,ईमेल प्रोमो प्राप्त करा,รับอีเมลโปรโมชั่น,Receive Email promos,接收電子郵件促銷,Nhận Email khuyến mãi,Terima email promo,ఇమెయిల్ ప్రోమోలను అందుకోండి,ईमेल प्रोमो प्राप्त करें,Receba promoções por e-mail,Reciba promociones por correo electrónico
UI_Create_account,Confirm Change,बदलाव की पुष्टि करें,ยืนยันการเปลี่ยนแปลง,Create account,確認更改,Xác nhận thay đổi,Konfirmasi Ubah,ఖాతాను సృష్టించు,खाता बनाएं,Confirmar alteração,Confirmar cambio
UI_Redefinir_TOP,Confirm New Password,नए पासवर्ड की पुष्टि करें,ยืนยันรหัสผ่านใหม่,Redefinir palavra-passe,確認新密碼,Xác nhận mật mã mới,Konfirmasi password baru,రహస్యపదాన్ని మార్చుకోండి,पासवर्ड रीसेट,Confirme nova senha,Confirmar nueva contraseña
UI_Change_Password,Change Password,पासवर्ड बदलें,Change Password,Change Password,更改密碼,Đổi mật khẩu,Ganti kata sandi,Change Password,Change Password,Mudar senha,Cambiar contraseña
UI_Confirm_Change,Confirm Change,बदलाव की पुष्टि करें,ยืนยันการเปลี่ยนแปลง,Confirm Change,確認更改,Xác nhận thay đổi,Konfirmasi Ubah,Confirm Change,Confirm Change,Confirmar alteração,Confirmar cambio
UI_Promo_code,Promo code (optional),प्रोमो कोड (पर्यायी),รหัสโปรโมชั่น (ถ้าต้องการ),Promo code (optional),促銷代碼（可選）,Mã khuyến mại (được chọn),Kode Promo (pilihan),ప్రోమో కోడ్ (ఐచ్ఛికం),प्रोमो कोड (वैकल्पिक),Código promocional (opcional),Código de promoción (Opcional)
UI_ForgotPassword_TOP,Forgot Password,पासवर्ड विसरलात,ลืมรหัสผ่าน,Forgot Password,忘記密碼,Quên mật khẩu,Tidak ingat kata sandi,పాస్,पासवर्ड भूल गए,Esqueceu a senha,Has olvidado tu contraseña
UI_Reset_Password,Reset password,पासवर्ड रीसेट करा,รีเซ็ตรหัสผ่าน,Reset password,重設密碼,Đặt lại mật khẩu,Setel ulang kata sandi,పాస్వర్డ్ను రీసెట్ చేయండి,पासवर्ड रीसेट,Redefinir senha,Restablecer la contraseña
UI_Load_more,Load more,लादणे,โหลดเพิ่มเติม,Load more,加載更多,Tải thêm,Muat lebih banyak,మరింత లోడ్ చేయండి,और लोड करें,Carregue mais,Carga más
UI_Cashback_for_rank,Ratio of Bet Bonus,रँकसाठी कॅशबॅक,อัตราโบนัสจากการเดิมพัน,Cashback for rank,投注紅利比例,Tỷ lệ thưởng cược,Perbandingan Bonus Taruhan,ర్యాంక్ కోసం క్యాష్,रैंक के लिए कैशबैक,Relação do Bônus de Aposta,Relación de bonificación de apuesta
UI_BET_BONUS,BET  BONUS,बीईटी बोनस,โบนัสจากการเดิมพัน,BET  BONUS,投注獎金,THƯỞNG CƯỢC,BONUS TARUHAN,బెట్ బోనస్,बेट बोनस,BÔNUS DE APOSTA,BONO DE APUESTA
UI_BET_RATIO,RATIO,प्रमाण,อัตราส่วน,RATIO,比率,Tỉ lệ,PERBANDINGAN,నిష్పత్తి,अनुपात,RAZÃO,proporción
UI_GAME_Player,Player,खेळाडू,ผู้เล่น,Player,玩家,Người chơi,Pemain,ఆటగాడు,खिलाड़ी,Jogador,Jugador
UI_GAME_Odds,Profit,शक्यता,กำไร,Profit,利潤,Lãi,Keuntungan,అసమానత,कठिनाइयाँ,Chances,Ganancia
UI_Notice_Personal,Personal,वैयक्तिक,ส่วนตัว,Personal,個人的,Cá nhân,Pribadi,వ్యక్తిగతం,निजी,Personal,Personal
UI_Email_del,Delete,मिटाना,ลบ,Del,刪除,Xóa,Menghapus,యొక్క,का,Excluir,Borrar
UI_View_all,View all,सर्व पहा,ดูทั้งหมด,View all,查看全部,Xem tất cả,Lihat semua,అన్నీ చూడండి,सभी देखें,Ver tudo,Ver todo
UI_LOGIN_Phone,Phone,फोन,หมายเลขโทรศัพท์,Phone,電話,Điện thoại,Telepon,ఫోన్,फ़ोन,Telefone,Teléfono
UI_LOGIN_Mail,Mail,मेल करा,อีเมล,Mail,郵件,Mail,Surat,మెయిల్,मेल,Correio,Correo
UI_Input_PixType,Input PixType,इनपुट पिक्सप्रकार,ใส่ประเภท Pix,Input PixType,輸入Pix類型,Nhập PixType,masukan tipe Pix,Input Pixరకం,Input Pixटाइप,Pix de entradaTipo,ingresar tipo de pix
UI_Commossion,Withdrawal Fee:,संयोग:,ค่าธรรมเนียมการถอนเงิน:,Commossion:,提款費：,Phí rút tiền:,Biaya Penarikan:,కమోషన్:,कमिशन:,Taxa de saque:,cargo por retiro 
UI_Input_Pix,Input Pix (CPF),इनपुट पिक्स,ใส่ Pix (CPF),Input Pix,輸入Pix (CPF),Nhập Pix (CPF),Masukan Pix (CPF),Input Pix,Input Pix,Pix de entrada (CPF),ingresar pix(CPF)
UI_GAME_Earn,Earn,कमवा,กำไร,Earn,利潤,Kiếm tiền,BERGABUNG,సంపాదిస్తారు,कमाना,Ganhar,Ganar
UI_Charge_Deposit notes,Deposit notes,नोटा जमा करा,คำแนะนำในการเติมเงิน,Deposit notes,充值說明,Ghi chú tiền gửi,Catatan setoran,డిపాజిట్ నోట్లు,जमा नोट,Notas de depósito,Notas de depósito
UI_Menu_DownloadHint,Scan code to download,डाउनलोड करण्यासाठी कोड स्कॅन करा,สแกนโค้ดเพื่อดาวน์โหลด,Scan code to download,掃碼下載,Quét mã để tải xuống,Pindai kode untuk mengunduh,డౌన్,डाउनलोड करने के लिए स्कैन कोड,Digitalize o código para baixar,Escanea el código para descargar
UI_Menu_downloadAndroid,Download for Android,अँड्रॉइडसाठी डाउनलोड करा,ดาวน์โหลดเวอร์ชั่น Android,Download for Android,下載安卓版,Tải cho Android,Unduh untuk Android,ఆండ్రాయిడ్ కోసం డౌన్,एंड्रॉइड के लिए डाउनलोड करें,Baixar para Android,Descargar para Android
UI_Menu_downloadApple,Download for App,अॅपसाठी डाउनलोड करा,ดาวน์โหลดแอพ,Download for App,下載應用程序,Tải cho ứng dụng,Unduh aplikasi,యాప్ కోసం డౌన్,ऐप के लिए डाउनलोड करें,Baixar para aplicativo,Descargar para la aplicación
UI_Menu_APPDownload,APP Download,एपीपी डाउनलोड,ดาวน์โหลดแอป,APP Download,APP下載,Tải APP,Unduh APLIKASI,యాప్ డౌన్,एपीपी डाउनलोड,Baixar APP,Descargar en el móvil
UI_Login_prompt1,Your need to tick terms!,तुम्हाला अटींवर टिक करणे आवश्यक आहे!,คุณต้องติ๊กเงื่อนไขด้วย,Your need to tick terms!,您需要勾選條款！,Bạn cần tích vào các điều khoản!,Anda perlu untuk mencentang persyaratan!,మీరు నిబంధనలను టిక్ చేయాలి!,आपको शर्तों पर टिक करने की आवश्यकता है!,Sua necessidade de marcar termos!,¡necesitas marcar los términos!
UI_Login_prompt2,Your need to tick Email promos!,तुम्हाला ईमेल प्रोमोजवर टिक करणे आवश्यक आहे!,คุณต้องติ๊กอีเมลโปรโมชั่นด้วย,Your need to tick Email promos!,您需要勾選電子郵件促銷！,Bạn cần tích vào Email khuyến mãi!,Anda perlu untuk mencentang Email promo!,మీరు ఇమెయిల్ ప్రోమోలను టిక్ చేయాలి!,आपको ईमेल प्रोमो पर टिक करने की आवश्यकता है!,Sua necessidade de marcar promoções de e-mail!,¡necesitas marcar las promociones por correo electrónico!
UI_Login_prompt3,Your need to tick verification code!,तुम्हाला पडताळणी कोडवर टिक करणे आवश्यक आहे!,คุณต้องติ๊กรหัสยืนยัน,Your need to tick verification code!,您需要勾選驗證碼！,Bạn cần tích vào mã xác minh!,Anda perlu mencentang kode verifikasi!,మీరు ధృవీకరణ కోడ్,आपको सत्यापन कोड पर टिक करने की आवश्यकता है!,Sua necessidade de marcar o código de verificação!,¡necesitas marcar el código de verificación!
UI_Login_prompt5,Email format error,ईमेल स्वरूप त्रुटी,รูปแบบอีเมลไม่ถูกต้อง,Email format error,電子郵件格式錯誤,Lỗi định dạng email,Format email salah,ఇమెయిల్ ఫార్మాట్ లోపం,ईमेल प्रारूप त्रुटि,Erro de formato de e-mail,Error de formato de correo electrónico
UI_Login_prompt6,The two passwords are inconsistent,दोन पासवर्ड विसंगत आहेत,รหัสผ่านสองตัวไม่เหมือนกัน,The two passwords are inconsistent,兩個密碼不一致,Hai mật khẩu không đồng nhất,Kedua password tidak konsisten,రెండు పాస్,दो पासवर्ड असंगत हैं,As duas senhas são inconsistentes,Las dos contraseñas son inconsistentes.
UI_Login_prompt7,'Your password contains illegal characters!',तुमच्या पासवर्डमध्ये बेकायदेशीर वर्ण आहेत!,รหัสผ่านของคุณมีอักขระที่ผิดกฎหมายอยู่,Your password contains illegal characters!,您的密碼包含非法字符！',Mật khẩu của bạn chứa các ký tự không hợp lệ!',Kata sandi Anda berisi karakter ilegal!',మీ పాస్వర్డ్ చట్టవిరుద్ధమైన అక్షరాలను కలిగి ఉంది!,आपके पासवर्ड में अवैध वर्ण हैं!,Sua senha contém caracteres ilegais!,¡Tu contraseña contiene caracteres ilegales!'
UI_Retirada,Withdrawal,निकासी,ถอนเงิน,Retirada,提现,Rút tiền,menarik,ఉపసంహరణ,निकासी,Retirada,Retiro
UI_Desbloqueie,Play to unlock more withdrawable amount,अधिक निकासी योग्य राशि अनलॉक करने के लिए खेलें,ปลดล็อกจำนวนเงินที่ถอนได้มากขึ้น,Desbloqueie seu saldo Aposte para liberar,解鎖更多的可提取金額,Chơi để mở khóa thêm tiền được rút,Mainkan untuk membuka lebih banyak jumlah yang dapat ditarik,అన్,अनलॉक करने के लिए अपना बैलेंस बेट\nएन अनलॉक करें,Jogue para desbloquear mais quantia extraível,Juega para desbloquear más cantidad retirable
UI_Saque_Disponível,Withdrawable Amount,निकासी योग्य राशि,จำนวนเงินที่ถอนได้,Saque Disponível,可提取金額,Số tiền được rút,Penarikan Tersedia,ఉపసంహరణ లభిస్తుంది,निकासी उपलब्ध,Montante Saqueável,Monto Retirable
UI_Volor_resgate,Amount to be unlocked,अनलॉक की जाने वाली राशि,ปลดล็อคจำนวนเงิน,Volor total a resgate,解鎖金額,Số tiền được mở khóa,Total nilai penebusan,మొత్తం విముక్తి మొత్తం,कुल मोचन राशि,Valor a ser desbloqueado,Cantidad a desbloquear
UI_recHis,Deposit History,ठेव इतिहास,ประวัติการฝากเงิน,Histórico de depósitos,存款記錄,Lịch sử gửi tiền,Riwayat Setoran,డిపాజిట్ చరిత్ర,जमा इतिहास,Histórico de depósitos,Historial de depósitos
UI_wthHis,Withdrawal History,निकासी इतिहास,ประวัติการถอนเงิน,História de retirada,提款記錄,Lịch sử,Sejarah,ఉపసంహరణ చరిత్ర,निकासी इतिहास,Histórico de retirada,Historial de retiros
UI_Date,Date,तारीख,วันที่,Date,日期,Ngày,Tanggal,తేదీ,दिनांक,Encontro,Fecha
UI_ID_tran,Transaction ID,व्यवहार आयडी,หมายเลขธุรกรรม,ID transação,交易編號,ID giao dịch,ID transaksi,లావాదేవి ఐడి,लेनदेन आईडी,ID transação,ID de transacción
UI_Valor_do,Amount,ठेव रक्कम,ปริมาณ,Valor do depósito,數量,Số tiền,Jumlah,డిపాజిట్ మొత్తం,जमा राशि,Quantia,Importe
UI_Montante_real,Total Amount,कुल राशि,ยอดทั้งหมด,Montante real,總金額,Tổng tiền,Jumlah sebenarnya,అసలు మొత్తం,वास्तविक राशि,Valor total,Cantidad total
UI_Taxa_da_retirada,Withdraw fee,पैसे काढण्याची फी,ค่าธรรมเนียม,Taxa da retirada,手續費,Phí rút tiền,Biaya penarikan,ఉపసంహరణ ఫీజు,निकासी शुल्क,Taxa de saque,Tarifa de retiro
UI_Account_History,Transactions,लेनदेन,ธุรกรรม,Date,Date,Giao dịch,Riwayat Akun,తేదీ,Histórico da conta,Transações,Actas
UI_Account_charge,charge,charge,ค่าใช้จ่าย,charge,charge,Thu phí,charge,charge,charge,charge,cargar
UI_DownCopyed,Copied successfully. Download will start soon.,सफलतापूर्वक कॉपी किया गया। डाउनलोड जल्द ही शुरू हो जाएगा।,คัดลอกสำเร็จ จะเริ่มการดาวน์โหลดในเร็วๆนี้,Date,複製成功。 下載將很快開始。,Sao chép thành công. Sẽ bắt đầu tải xuống ngay.,Tanggal,తేదీ,दिनांक,Copiado com sucesso. O download começará em breve.,Copiado con éxito. La descarga comenzará pronto.
UI_Copyed,Copy successful,प्रतिलिपि सफल,คัดลอกสำเร็จ,Copy successful,複製成功,Sao chép thành công,Berhasil menyalin,Cope,Cope,Copiado com sucesso,Copia exitosa
UI_Share_Code_howdance,"Exclusive Affiliate Program, Making Money Easier","विशेष संबद्ध कार्यक्रम, पैसा कमाना आसान",โครงการเป็นสมาชิกรพิเศษจำเพาะ หาเงินได้ง่ายขึ้น,how to dance nomination commissions,獨家加盟計劃，賺錢更輕鬆,"Chương trình liên kết độc quyền, kiếm tiền thật dễ",how to dance nomination commissions,how to dance nomination commissions,how to dance nomination commissions,"Programa de afiliados exclusivo, tornando o dinheiro mais fácil","Programa exclusivo de afiliados, hacer dinero más fácil"
UI_Share_SeeAllbonuses,See all bonuses,सभी बोनस देखें,ดูโบนัสทั้งหมด,See all bonuses,查看所有獎金,Xem tất cả thưởng,See all bonuses,See all bonuses,See all bonuses,Veja todos os bônus,Ver todos los Bonos
UI_Promote_TitleType,Type,निदर्शन,ชนิด,类型,類型,Đánh máy.,ketik,రకం,प्रकार,Tipo,Tipo
UI_AllActivityBtnTitleMore,Click for more>>,अधिक के लिए क्लिक करें>>,คลิกเพื่อเรียนรู้ข้อมูลเพิ่มเติม>>,Click for more>>,點擊了解更多>>,Bấm để biết thêm>>,Klik untuk lebih banyak>>,Click for more>>,Click for more>>,Clique para mais>>,Haga clic para más>>
UI_TopCoupon,Promotion,पदोन्नति,กิจกรรม,Coupon,活動,Khuyến mãi,Kupon,Promosi,Coupon,Promoção,Promoción
UI_My_Profiler,My Profiler,मेरा प्रोफाइलर,ประวัติของฉัน,My Profiler,我的檔案,hồ sơ của tôi,Profiler saya,My Profiler,My Profiler,Meu Profiler,Mi generador de perfiles
UI_AllActivityTitlePromocqes,Promotions,प्रोन्नति,โปรโมชั่น,Promocqes,促銷活動,Khuyến mãi,Promosi,Promocqes,Promocqes,Promoções,Promociones
UI_TopMenuTitle,Refer,उद्घृत करना,แชร์,Share,分享,Tham khảo,Membagikan,Merujuk,Share,Partilhar,Referir
ExitTip,Press back again to exit,बाहर निकलने के लिए फिर से दबाएँ,กดอีกครั้งเพื่อออกจากระบบ,Press back again to exit,再按一次退出,Nhấn lại để thoát,Tekan kembali lagi untuk keluar,Press back again to exit,Press back again to exit,Press back again to exit,Pulse atrás de nuevo para salir
UI_Call_Ser,Customer service,पसंदीदा सेवा,บริการลูกค้า,Customer service,客戶服務,Dịch vụ khách hàng,Pelayanan pelanggan,క్యాస్,ग्राहक सेवा,Serviço de clientes,Servicio al Cliente
UI_Cash_Branckbank,Branck bank,ब्रांच बैंक,ธนาคารบล็องก์,Branck bank,布蘭克銀行,Chi nhánh ngân hàng,Bank Branck,Branck bank,Branck bank,Branck bank,sucursal bancaria
UI_Cash_BankCode,Bank code,बैंक कोड,รหัสธนาคาร,Bank code,銀行代碼,Mã ngân hàng,Kode Bank,Bank code,Bank code,Bank code,codigo bancario
UI_Cash_AccountDigit,Account digit,अकाउंट डिजिट,บัญชี,Account digit,帳號,Số tài khoản,Digit akun,Account digit,Account digit,Account digit,dígito de la cuenta
UI_Balance,Balance,संतुलन,ยอดคงเหลือ,Saldo,余额,Số dư,Saldo,Saldo,Saldo,Equilíbrio,Balance
UI_Balance_explanation,"When the coding progress is 100% satisfied, the amount can be withdrawn into the account balance.",जब कोडिंग प्रगति 100% संतुष्ट हो जाती है,เมื่อความคืบหน้าของการเข้ารหัสถึงความพึงพอใจ 100% แล้ว สามารถถอนเงินไปยังบัญชียอดคงเหลือได้,Saldo,“當打碼進度100%滿意後，即可提現到賬戶餘額中。”,"Khi quá trình mã hóa đạt 100%, tiền sẽ được chuyển vào số dư tài khoản.","When the coding progress is 100% satisfied, the amount can be withdrawn into the account balance.","When the coding progress is 100% satisfied, the amount can be withdrawn into the account balance.","When the coding progress is 100% satisfied, the amount can be withdrawn into the account balance.","Quando o progresso da codificação estiver 100% satisfeito, o valor poderá ser sacado no saldo da conta.","Cuando el progreso de la codificación está 100% satisfecho, la cantidad se puede retirar del saldo de la cuenta."
UI_WITHDRAw,WITHDRAW,हटना,ถอนเงิน,WITHDRAW,提取,RÚT TIỀN,MENARIK,WITHDRAW,WITHDRAW,SAQUE,Retirar
UI_Next,Next,अगला,ต่อไป,Next,下一個,Kế tiếp,Berikutnya,తరువాత,पुढे,Próximo,Próximo
UI_TIP1,TIPS,युक्तियाँ,เคล็ดลับ,TIP,提示,LỜI KHUYÊN,TIPS,TIP,TIP,DICAS,consejos
UI_Startthegame,Start the game,खेल शुरू करो,เริ่มเกม,Start the game,開始遊戲,Bắt đầu trò chơi,Memulai permainan,ఆట ప్రారంభించండి,खेळ सुरू करा,Comece o jogo,Comenzar el juego
